trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.001, 'e': 0.8190935589527226}",20,0,-5.90884717144774,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.001, 'e': 0.818542841792731}",30,0,-111.70271717216734,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.8179919228566943}",25,0,-83.75438609867396,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.001, 'e': 0.8174408043544875}",25,8,-132.58053766079203,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 2}",1
46,False,"{'a': 0.001, 'e': 0.8168894884889376}",20,0,-47.191026965033444,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.001, 'e': 0.8163379774558392}",25,0,-112.8939010840888,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.001, 'e': 0.8157862734439711}",30,0,-98.83957376838299,"{0: 16, 1: 6, 2: 8, 3: 0, 4: 0}",0
49,False,"{'a': 0.001, 'e': 0.8152343786351121}",25,0,-109.69696736411422,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
50,False,"{'a': 0.001, 'e': 0.8146822952040566}",25,0,-101.68762218782625,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.001, 'e': 0.8141300253186308}",25,4,10.613810846931626,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.001, 'e': 0.8135775711397086}",20,0,-124.80390571102865,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.001, 'e': 0.8130249348212275}",20,0,-110.42388466498404,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.8124721185102044}",25,0,-75.62336242557326,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
55,False,"{'a': 0.001, 'e': 0.8119191243467513}",25,0,-157.034683516791,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
56,False,"{'a': 0.001, 'e': 0.8113659544640913}",20,0,-38.58017272576143,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.001, 'e': 0.8108126109885746}",25,0,-61.970235755018464,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.001, 'e': 0.8102590960396939}",25,6,-81.56212532400801,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
59,False,"{'a': 0.001, 'e': 0.8097054117301004}",30,0,-155.52880392617826,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
60,False,"{'a': 0.001, 'e': 0.8091515601656195}",20,9,-91.47536996918247,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 1}",1
61,False,"{'a': 0.001, 'e': 0.8085975434452666}",30,0,-40.40165194123048,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.001, 'e': 0.8080433636612627}",35,0,-184.12271853311114,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
63,False,"{'a': 0.001, 'e': 0.8074890228990503}",30,0,-149.31719686721598,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
64,False,"{'a': 0.001, 'e': 0.8069345232373091}",20,6,-25.44949282969791,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.001, 'e': 0.806379866747971}",20,0,-9.243209135776613,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.001, 'e': 0.805825055496237}",20,0,-42.67531787830495,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
67,False,"{'a': 0.001, 'e': 0.8052700915405913}",25,0,-105.60825837613686,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.001, 'e': 0.8047149769328183}",20,12,-75.44128405700172,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 1}",1
69,False,"{'a': 0.001, 'e': 0.8041597137180175}",25,0,-151.57825159905804,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
70,False,"{'a': 0.001, 'e': 0.8036043039346191}",25,15,-14.320075519383577,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.001, 'e': 0.8030487496143995}",25,0,-89.82260583960567,"{0: 15, 1: 5, 2: 2, 3: 3, 4: 0}",0
72,False,"{'a': 0.001, 'e': 0.8024930527824973}",30,16,3.9551235365522412,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.001, 'e': 0.8019372154574279}",20,0,-64.2240178643341,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.001, 'e': 0.8013812396511001}",30,0,-143.7299345312479,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
75,False,"{'a': 0.001, 'e': 0.8008251273688309}",30,0,-200.1606993756078,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 5}",0
76,False,"{'a': 0.001, 'e': 0.8002688806093609}",25,0,-84.51811933472325,"{0: 12, 1: 6, 2: 7, 3: 0, 4: 0}",0
77,False,"{'a': 0.001, 'e': 0.79971250136487}",25,0,-35.24779612693353,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.001, 'e': 0.799155991620993}",20,5,-158.88453697811892,"{0: 5, 1: 1, 2: 6, 3: 1, 4: 2}",1
79,False,"{'a': 0.001, 'e': 0.7985993533568344}",25,0,-71.56878733348438,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
80,False,"{'a': 0.001, 'e': 0.7980425885449842}",35,0,-128.09859202126003,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
81,False,"{'a': 0.001, 'e': 0.7974856991515332}",25,0,-184.6862327490605,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
82,False,"{'a': 0.001, 'e': 0.7969286871360884}",30,0,-69.84802966478011,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
